title,genre,rating,review,sentiment
The Dark Knight,Action,9.0,I watched The Dark Knight. Loved the plot twists. It kept me guessing.,positive
Interstellar,Sci-Fi,8.6,I watched Interstellar. Breathtaking visuals and amazing acting.,positive
Forrest Gump,Drama,8.8,I watched Forrest Gump. Loved the plot twists. It kept me guessing.,positive
Interstellar,Sci-Fi,8.6,I watched Interstellar. A fantastic cinematic experience.,positive
Shutter Island,Thriller,8.1,I watched Shutter Island. I regret paying for a ticket to see this.,negative
The Matrix,Sci-Fi,8.7,I watched The Matrix. Overrated and utterly disappointing.,negative
Fight Club,Drama,8.8,"I watched Fight Club. Great story, captivating characters.",positive
The Dark Knight,Action,9.0,I watched The Dark Knight. Would not recommend this to anyone.,negative
A Walk to Remember,Romance,7.4,I watched A Walk to Remember. I fell asleep halfway through.,negative
The Matrix,Sci-Fi,8.7,I watched The Matrix. Too long and drawn out. Needs better editing.,negative
Pulp Fiction,Crime,8.9,I watched Pulp Fiction. I regret paying for a ticket to see this.,negative
The Matrix,Sci-Fi,8.7,I watched The Matrix. Highly recommended. A brilliant piece of art.,positive
The Notebook,Romance,7.9,I watched The Notebook. One of the best movies I have ever seen.,positive
Titanic,Romance,8.5,I watched Titanic. Superb direction and outstanding performances.,positive
A Walk to Remember,Romance,7.4,I watched A Walk to Remember. Highly recommended. A brilliant piece of art.,positive
Avatar,Sci-Fi,7.8,I watched Avatar. One of the best movies I have ever seen.,positive
The Godfather,Crime,9.2,I watched The Godfather. Too long and drawn out. Needs better editing.,negative
Tenet,Sci-Fi,7.4,"I watched Tenet. Great story, captivating characters.",positive
The Matrix,Sci-Fi,8.7,I watched The Matrix. The special effects were cheap looking.,negative
Titanic,Romance,8.5,I watched Titanic. A fantastic cinematic experience.,positive
Titanic,Romance,8.5,I watched Titanic. Very boring and predictable.,negative
Avatar,Sci-Fi,7.8,I watched Avatar. One of the best movies I have ever seen.,positive
Titanic,Romance,8.5,"I watched Titanic. Great story, captivating characters.",positive
Forrest Gump,Drama,8.8,I watched Forrest Gump. One of the best movies I have ever seen.,positive
Shutter Island,Thriller,8.1,I watched Shutter Island. Loved the plot twists. It kept me guessing.,positive
Shutter Island,Thriller,8.1,I watched Shutter Island. Highly recommended. A brilliant piece of art.,positive
Inception,Sci-Fi,8.8,I watched Inception. A fantastic cinematic experience.,positive
A Walk to Remember,Romance,7.4,I watched A Walk to Remember. The special effects were cheap looking.,negative
Tenet,Sci-Fi,7.4,I watched Tenet. Very boring and predictable.,negative
The Godfather,Crime,9.2,I watched The Godfather. Overrated and utterly disappointing.,negative
Avatar,Sci-Fi,7.8,I watched Avatar. Breathtaking visuals and amazing acting.,positive
The Dark Knight,Action,9.0,I watched The Dark Knight. Loved the plot twists. It kept me guessing.,positive
Pulp Fiction,Crime,8.9,I watched Pulp Fiction. Breathtaking visuals and amazing acting.,positive
Inception,Sci-Fi,8.8,I watched Inception. Loved the plot twists. It kept me guessing.,positive
Avatar,Sci-Fi,7.8,I watched Avatar. Too long and drawn out. Needs better editing.,negative
The Notebook,Romance,7.9,I watched The Notebook. Too long and drawn out. Needs better editing.,negative
The Godfather,Crime,9.2,I watched The Godfather. Superb direction and outstanding performances.,positive
Pulp Fiction,Crime,8.9,I watched Pulp Fiction. Breathtaking visuals and amazing acting.,positive
Tenet,Sci-Fi,7.4,I watched Tenet. Superb direction and outstanding performances.,positive
Fight Club,Drama,8.8,I watched Fight Club. An absolute masterpiece!,positive
The Godfather,Crime,9.2,I watched The Godfather. Highly recommended. A brilliant piece of art.,positive
Inception,Sci-Fi,8.8,I watched Inception. Very boring and predictable.,negative
Avatar,Sci-Fi,7.8,I watched Avatar. One of the best movies I have ever seen.,positive
Inception,Sci-Fi,8.8,I watched Inception. A total waste of time.,negative
Avatar,Sci-Fi,7.8,I watched Avatar. I regret paying for a ticket to see this.,negative
Avatar,Sci-Fi,7.8,I watched Avatar. Breathtaking visuals and amazing acting.,positive
Pulp Fiction,Crime,8.9,I watched Pulp Fiction. Breathtaking visuals and amazing acting.,positive
Interstellar,Sci-Fi,8.6,I watched Interstellar. The special effects were cheap looking.,negative
A Walk to Remember,Romance,7.4,I watched A Walk to Remember. A fantastic cinematic experience.,positive
The Dark Knight,Action,9.0,I watched The Dark Knight. I regret paying for a ticket to see this.,negative
Titanic,Romance,8.5,I watched Titanic. Loved the plot twists. It kept me guessing.,positive
Pulp Fiction,Crime,8.9,I watched Pulp Fiction. I fell asleep halfway through.,negative
Fight Club,Drama,8.8,I watched Fight Club. The plot made absolutely no sense.,negative
Fight Club,Drama,8.8,I watched Fight Club. Overrated and utterly disappointing.,negative
The Notebook,Romance,7.9,I watched The Notebook. I was hooked from beginning to end.,positive
Forrest Gump,Drama,8.8,"I watched Forrest Gump. Great story, captivating characters.",positive
The Dark Knight,Action,9.0,I watched The Dark Knight. Would not recommend this to anyone.,negative
Inception,Sci-Fi,8.8,I watched Inception. Would not recommend this to anyone.,negative
The Matrix,Sci-Fi,8.7,I watched The Matrix. Highly recommended. A brilliant piece of art.,positive
Titanic,Romance,8.5,I watched Titanic. Would not recommend this to anyone.,negative
The Matrix,Sci-Fi,8.7,I watched The Matrix. I really loved every second of it.,positive
The Notebook,Romance,7.9,I watched The Notebook. Overrated and utterly disappointing.,negative
Titanic,Romance,8.5,I watched Titanic. The special effects were cheap looking.,negative
Fight Club,Drama,8.8,I watched Fight Club. I really loved every second of it.,positive
The Matrix,Sci-Fi,8.7,I watched The Matrix. One of the best movies I have ever seen.,positive
The Notebook,Romance,7.9,I watched The Notebook. Breathtaking visuals and amazing acting.,positive
Fight Club,Drama,8.8,I watched Fight Club. A total waste of time.,negative
Forrest Gump,Drama,8.8,I watched Forrest Gump. Overrated and utterly disappointing.,negative
Inception,Sci-Fi,8.8,I watched Inception. I regret paying for a ticket to see this.,negative
Forrest Gump,Drama,8.8,"I watched Forrest Gump. Great story, captivating characters.",positive
Fight Club,Drama,8.8,I watched Fight Club. Very boring and predictable.,negative
A Walk to Remember,Romance,7.4,I watched A Walk to Remember. Loved the plot twists. It kept me guessing.,positive
Tenet,Sci-Fi,7.4,I watched Tenet. I really loved every second of it.,positive
Forrest Gump,Drama,8.8,"I watched Forrest Gump. Great story, captivating characters.",positive
Pulp Fiction,Crime,8.9,I watched Pulp Fiction. Would not recommend this to anyone.,negative
The Godfather,Crime,9.2,I watched The Godfather. A fantastic cinematic experience.,positive
The Godfather,Crime,9.2,I watched The Godfather. Would not recommend this to anyone.,negative
The Notebook,Romance,7.9,I watched The Notebook. One of the best movies I have ever seen.,positive
Titanic,Romance,8.5,I watched Titanic. Highly recommended. A brilliant piece of art.,positive
Titanic,Romance,8.5,I watched Titanic. I fell asleep halfway through.,negative
A Walk to Remember,Romance,7.4,I watched A Walk to Remember. A fantastic cinematic experience.,positive
Avatar,Sci-Fi,7.8,I watched Avatar. I fell asleep halfway through.,negative
The Godfather,Crime,9.2,I watched The Godfather. Terrible acting and poor script.,negative
The Godfather,Crime,9.2,I watched The Godfather. Loved the plot twists. It kept me guessing.,positive
Interstellar,Sci-Fi,8.6,I watched Interstellar. I fell asleep halfway through.,negative
Fight Club,Drama,8.8,I watched Fight Club. Superb direction and outstanding performances.,positive
Avatar,Sci-Fi,7.8,I watched Avatar. I fell asleep halfway through.,negative
Shutter Island,Thriller,8.1,I watched Shutter Island. A total waste of time.,negative
